date,failure_info
03.08.2024,"- Район Добрич: В следствие на гръмотевичната буря без ел. захранване е ПС ""Приморци"", което ще наруши нормалното водоподаване в целия гр. Добрич. Екипите работят по възстановяването на ел. захранването.
- Район Балчик: с. Пряспа, с. Дропла и с. Змеево - с нарушено водоподаване до 5. 08. 2024г. поради авария;
- Район Тервел: с. Зърнево-нарушено водоподаване поради изгоряла сондажна помпа до отстраняване на аварията.
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
02.08.2024,"- Район Добрич: Кооперативен пазар; кв. Рилци - авария на воден цикъл по ул. "" Ал. Батенберг""
- Район Добрич-селска: с. Тянево; с. Ведрина; с. Ново Ботево; с. Безводица; с. Победа -до приключване на аварията
- Район Балчик: с. Царичино; с. Тригорци
- Район Каварна: гр. Каварна - ул. ""Младост"" 1; Водоем ""Белгун""
- Район Тервел: с. Зърнево-нарушено водоподаване поради изгоряла сондажна помпа до отстраняване на аварията
- Район Шабла: гр. Шабла - ул. ""Янтра""
- Район Крушари: с. Северняк
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
01.08.2024,"- Район Добрич: Поради авария на водопровод по ул. ""Дим. Калъкчията"" на 1-ви август 2024г. в 7ч. сутринта се спира Северна промишлена зона до отстраняване на аварията.
ул. Хан Тервел-нарушено водоподаване поради В. Ц.
ул. П. Р. Славейков и района на Автогара с нарушено водоподаване тази вечер;
пл. Македония;
кв. Червена пръст;
- Район Добрич-селска: с. Дончево; с. Гешаново; с. Попгригорово;
- Район Балчик: с. Сенокос; с. Кранево; с. Оброчище;
- Район Тервел: с. Войниково; с. Зърнево-нарушено водоподаване поради изгоряла сондажна помпа до отстраняване на аварията
- Район Г. Тошево: с. Вичево; с. Пленимир;
- Район Крушари: с. Кап. Димитрово;
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
31.07.2024,"- Район Добрич: ул. Ген. Гурко 9; Кв. Рилци - ул. Княз Батенберг; ул. Иларион Макариополски 13; ул. Хан Тервел - нарушено водоподаване поради В. Ц. Поради авария на водопровод  по ул. Дим. Калъкчията на 1-ви август 2024г. в 7ч. сутринта се спира Северна промишлена зона до отстраняване на аварията;
- Район Добрич-селска: с. Камен; с. Миладиновци; с. Божурово;
- Район Балчик: с. Царичино;
- Район Каварна: Напорен водопровод от ПС Горун към в-м Камен бряг - 2 аварии. Авариите ще бъдат отстранени на 31. 07. 2024 г. до 17:00 часа. Водоподаването ще бъде възстановено до 3 часа след приключване на водопроводните аварии.
- Район Тервел: Тервел - ул. Хан Аспарух; ул. Захари Стоянов;
- Район Г. Тошево: Г. Тошево - ул. Патриарх Ефтимий; с. Калина;
- Район Шабла: Шабла - ул. Заводска; с. Тюленово;
- Район Крушари: Крушари напорен водопровод - временно без водоподаване ще бъдат следните села: Крушари, Земенци, Загорци, Полк. Дяково, Бистрец, Александрия, Габер и Огняново. За пълно възстановяване на водоподаването до всички населени места са необходими от 48 до 72 часа след 17:00 часа на 30. 07. 2024 г. с. Северци; с. Абрит;
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
30.07.2024,"- Район Добрич: Приключила е аварията в ЖК ""Иглика"" бл. 4 в 17:45 часа. Водоснабдяването ще бъде възстановено до 20:00 часа в района на: ул. ""Ген. Попов"", ул. ""Черно море"", ул. Чайка, ул. ""Божур"", ул. ""Аврора"", ул. ""Надежда"", ул. ""Каменица"", ул. ""Опълченска"", ул. ""Баба Парашкева"", ул. ""Ралица"", бул. ""Русия"" (от стария битак до пожарната), ЖК ""Иглика"", ЖК ""Христо Ботев"", ул. ""Христо Ботев"" до № 79, включително и сградата на пожарната и др.
- Поради профилактика на ЕРП са възможни временни смущения в електрозахранването от 9:00 до 13:00 ч. на ПС Алмалии, ПС Пети километър, ПС Стожер, ПС Батово 2;
- ЖК ""Добротица"" - нарушено водоподаване;
- ул. ""Хан Тервел"" от бензиностанция Шел до рилските блокове е спряно водоподаването поради работа по воден цикъл. Нарушено водоподаване в района на ул ""Хан Тервел"", ул. ""Драва"", ул. ""Силистра"" и др.;
- Район Добрич-селска: Поради профилактика на ЕРП са възможни временни смущения в електрозахранването от 9:00 до 13:00 ч. на ПС Алмалии, ПС Пети километър, ПС Стожер, ПС Батово 2;
- Батово - напорен водопровод
- Район Балчик: с. Соколово, ВЗ Кулака, гр. Балчик - ул. ""Приморска""
- Район Каварна: - Напорен водопровод от ПС Горун към в-м Камен бряг - 2 аварии. Авариите ще бъдат отстранени на 31. 07. 2024 г. до 17:00 часа. Водоподаването ще бъде възстановено до 3 часа след приключване на водопроводните аварии.
- гр. Каварна ул. ""Пушкин"";
- ПС ""Горун"" ел. ремонт - нарушено водоподаване в с. Раковски, с. Камен бряг, с. Пор. Чунчево, с. Хаджи Димитър;
- гр. Каварна висока зона е без водоподаване поради работа по воден цикъл;
- Район Тервел: - ПС Савово;
- Поради авария по електропровод на ЕРП временно без водоподаване ще бъдат следните населени места: гр. Тервел, с. Полк. Савово, с. Бонево, с. Честименско, с. Каблешково, с. Проф. Златарски, с. Бонево.
- Район Г. Тошево: с. Пчеларово, с. Сираково, с. Вичево, с. Великово
- Район Шабла: ПС Горун ел. ремонт - нарушено водоподаване в селата:  Тюленово, с. Горун, с. Черноморци;
- Район Крушари: Крушари напорен водопровод - временно без водоподаване ще бъдат следните села: Крушари, Земенци, Загорци, Полк. Дяково, Бистрец, Александрия, Габер и Огняново. За пълно възстановяване на водоподаването до всички населени места са необходими от 48 до 72 часа след 17:00 часа на 30. 07. 2024 г.
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
29.07.2024,"- Район Добрич: Рилци - горна част без водоподаване поради воден цикъл; ул. Генерал Гурко 3;
- Район Добрич-селска: с. Самуилово; с. Смолница; с. Батово;
- Район Балчик: с. Царичино; гр. Балчик - ВЗ Овчаровски плаж;
- Район Каварна: с. Камен бряг без водоподаване тази вечер поради авария; с. Раковски;
- Район Тервел: с. Безмер; ПС Коларци;
- Район Г. Тошево: с. Житен; с. Спасово;
- Район Шабла: гр. Шабла - ул. Консомолска;
- Район Крушари: с. Ефрейтор Бакалово;
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
27.07.2024,"- Район Шабла: с. Божаново;
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
26.07.2024,"- Район Добрич: - Аварията на ЖК ""Иглика"" бл. 4 ще приключи около 20:00 часа. Водоподаването ще бъде възстановено до 23:00 часа в района на: ул. ""Ген. Попов"", ул. ""Черно море"", ул. Чайка, ул. ""Божур"", ул. ""Аврора"", ул. ""Надежда"", ул. ""Каменица"", ул. ""Опълченска"", ул. Баба Парашкева"", ул. Ралица, бул. ""Русия"" (от стария битак до пожарната), ЖК ""Иглика"", ЖК ""Христо Ботев"", ул. Христо Ботев"" до № 79 и др.
- На 26. 07. 2024 г. в периода от 9 до 16 часа поради профилактика на ЕРП, ще бъде прекъснато електрозахранването на хидрофор Силистрите, поради което временно ще бъде нарушено водоподаването в района на рилските блокове, ул. Хан Тервел, ул. Силистра и др.;
- ул. ""Плиска"" 12 - приключена;
- ул. ""Баба Тонка"" 2 - приключена.
- Район Добрич-селска: Приключили аварии: с. Котленци, с. Ген. Колево, с. Смолница.
- На 26. 07. 2024 г. от 8:30 до 16:30 ч. поради профилактика от ЕРП ще бъде прекъснато електрозахранването на ПС Гешаново, поради което ще бъдат с нарушено водоподаване селата: с. Гешаново, с. Карапелит и с. Подслон.

За пълно възстановяване на водоподаването до всички населени места са необходими от 8 до 10 часа след профилактиката;
- с. Котленци, с. Ген. Колево - нарушено водоподавне, с. Смолница - нарушено водоподаване в с. Смолница и с. Малка Смолница
- Район Балчик: КПС Албена - ел. ремонт, с. Гурково, с. Дропла
- Район Каварна: - От 22. 07. 2024 г. до 26. 07. 2024 г. в периода от 9 до 17 ч. поради профилактика на ЕРП ще бъде прекъснато ел. захранването на СК Крупен, поради което до възстановяване на водоподаването са необходими 3 часа.
- с. Вранино
- Район Тервел: На 26. 07. 2024 г. от 8:30 до 16:30 ч. поради профилактика от ЕРП ще бъде прекъснато електрозахранването на СК Зърнево и СК Орляк.

За пълно възстановяване на водоподаването до всички населени места са необходими 4 часа след профилактиката;
- Район Г. Тошево: гр. Ген. Тошево ул. ""Черно море"", с. Великово
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
25.07.2024,"- Район Добрич: ул. Поп Богомил; ф-ма БГ Транс;
- Район Добрич-селска: От 9ч. до 17ч. поради профилактика на ЕРП ще бъде прекъсната ел. захранването на пс. Полк. Иваново; Снарушено водоподаване с. Полк. Иваново; с. Ловчанци; с. Миладиновци;
- На 26. 07. 2024 г. от 8:30 до 16:30 ч. поради профилактика от ЕРП ще бъде прекъснато електрозахранването на ПС Гешаново, поради което ще бъдат с нарушено водоподаване селата: с. Гешаново, с. Карапелит и с. Подслон.
За пълно възстановяване на водоподаването до всички населени места са необходими от 8 до 10 часа след профилактиката;
- с. Батово; Поради авария на главен водопровод от ПС Батово, без водоподаване ще са: с. Одърци, с. Славеево, с. Соколник и с. Стефаново;
- Район Балчик: с. Храброво; с. Оброчище;
- Район Каварна: От 9ч. до 17ч. поради профилактика на ЕРП ще бъде прекъснато ел. захранването на СК Крупен;
- с. Нейково;
- Район Тервел: На 26. 07. 2024 г. от 8:30 до 16:30 ч. поради профилактика от ЕРП ще бъде прекъснато електрозахранването на СК Зърнево и СК Орляк.
За пълно възстановяване на водоподаването до всички населени места са необходими 4 часа след профилактиката;
- Район Г. Тошево: с. Узово;
- Район Шабла: с. Божаново; с. Твърдица;
- Район Крушари: Поради профилактика на ЕРП Север временно без водоподаване ще бъдат с. Крушари; с. Земенци; с. Загорци; с. Полк. Дяково; с. Бистрец; с. Александрия; с. Габер; с. Огняново;
- с. Поручик Кърджиево; с. Северци;
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
24.07.2024,"- Район Добрич: ул. ""Поп Богомил"" - до Пътнически провози; ЖК ""Дружба"" 41; ул. Баба Тонка-с нарушено водоподаване поради В. Ц. до 17 часа
- Район Добрич-селска: На 25. 07. 2024 г. от 9 до 16:30 ч. поради профилактика от ЕРП ще бъде прекъснато електрозахранването на ПС Полк. Иваново, поради което ще бъдат с нарушено водоподаване селата: Полк. Иваново, Ловчанци и Миладиновци. Възстановяването на водоподаването е до 5 часа; с. Смолница; с. Стефаново; с. Победа
- Район Каварна: От 22. 07. 2024 г. до 26. 07. 2024 г. в периода от 9 до 17 ч. поради профилактика на ЕРП ще бъде прекъснато ел. захранването на СК Крупен, поради което до възстановяване на водоподаването са необходими 3 часа.
- Район Г. Тошево: с. Снягово; с. Къпиново; ПС ""Изворово""
- Район Крушари: Поради профилактика на ЕРП Север на 22. 07. 2024 г. до 17:00 часа, временно без водоподаване ще бъдат следните села: Крушари, Земенци, Загорци, Полк. Дяково, Бистрец, Александрия, Габер и Огняново. Пълно възстановяване на водоподаването до всички населени места ще бъде до 17:00 часа на 25. 07. 2024 г.
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
23.07.2024,"- Район Добрич: На 23. 07. 2024 г. от 8 до 17 ч. са възможни смущения в ел. захранването на хидрофор Режия поради профилактика на ЕРП. Стария Добрич; ул. Кирил и Методи 18; ЖК Добротица бл. 15 - Албенска Добротица; ул. Иван Кършовски;
- Район Добрич-селска: На 25. 07. 2024 г. от 9 до 16:30 ч. поради профилактика от ЕРП ще бъде прекъснато електрозахранването на ПС Полк. Иваново, поради което ще бъдат с нарушено водоподаване селата: Полк. Иваново, Ловчанци и Миладиновци. Възстановяването на водоподаването е до 5 часа.
- На 23. 07. 2024 г. от 9 до 16:30 ч. поради профилактика от ЕРП ще бъде прекъснато електрозахранването на ПС Минково, поради което ще бъдат с нарушено водоподаване селата: Котленци, Полк. Минково, Победа, Царевец, Паскалево, Овчарово, Ломница, Добрево, Сливенци, Стефан Караджа, Ген. Колево до 2:30 ч. на 24. 07. 2024 г. с. Воднянци;
- Район Балчик: с. Сенокос;
- Район Каварна: От 22. 07. 2024 г. до 26. 07. 2024 г. в периода от 9 до 17 ч. поради профилактика на ЕРП ще бъде прекъснато ел. захранването на СК Крупен, поради което до възстановяване на водоподаването са необходими 3 часа.  ВЗ Топола;
- Район Тервел: Тервел - кв. Север; с. Кочмар;
- Район Г. Тошево: с. Сираково; пс. Узово;
- Район Шабла: с. Божаново;
- Район Крушари: Поради профилактика на ЕРП Север, временно без водоподаване ще бъдат следните села: Крушари, Земенци, Загорци, Полк. Дяково, Бистрец, Александрия, Габер и Огняново. За пълно възстановяване на водоподаването до всички населени места са необходими от 48 до 72 часа след 17:00 часа на 22. 07. 2024 г.
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
22.07.2024,"- Район Добрич: На 23. 07. 2024 г. от 8 до 17 ч. са възможни смущения в ел. захранването на хидрофор Режия поради профилактика на ЕРП.
- кв. Рилци високи части - авария - воден цикъл; ул. ""Сирма Войвода"" и ул. ""Петър Берон"", ул. ""Иван Кършовски"" 61, ул. ""Поп Богомил"" - 3 аварии
- Район Добрич-селска: На 25. 07. 2024 г. от 9 до 16:30 ч. поради профилактика от ЕРП ще бъде прекъснато електрозахранването на ПС Полк. Иваново, поради което ще бъдат с нарушено водоподаване селата: Полк. Иваново, Ловчанци и Миладиновци. Възстановяването на водоподаването е до 5 часа.
- На 23. 07. 2024 г. от 9 до 16:30 ч. поради профилактика от ЕРП ще бъде прекъснато електрозахранването на ПС Минково, поради което ще бъдат с нарушено водоподаване селата: Котленци, Полк. Минково, Победа, Царевец, Паскалево, Овчарово, Ломница, Добрево, Сливенци, Стефан Караджа, Ген. Колево до 2:30 ч. на 24. 07. 2024 г.
- с. Росеново, с. Божурово
- Район Балчик: с. Дропла и с. Оброчище
- Район Каварна: От 22. 07. 2024 г. до 26. 07. 2024 г. в периода от 9 до 17 ч. поради профилактика на ЕРП ще бъде прекъснато ел. захранването на СК Крупен, поради което до възстановяване на водоподаването са необходими 3 часа.
- гр. Каварна ул. ""Георги Кирков"" - висока зона с нарушено водоподаване, ул. ""Добротица"" - ниска зона нарушено водоподаване.
- Район Тервел: гр. Тервел градски парк, с. Кладенци
- Район Г. Тошево: с. Люляково, с. Сираково, ПС Узово - без водоподаване ще бъдат селата: Пчеларово, Зограф, Житен, Сноп, Градини и Узово
- Район Шабла: с. Горун, с. Горичане
- Район Крушари: - Поради профилактика на ЕРП Север, временно без водоподаване ще бъдат следните села: Крушари, Земенци, Загорци, Полк. Дяково, Бистрец, Александрия, Габер и Огняново. За пълно възстановяване на водоподаването до всички населени места са необходими от 48 до 72 часа след 17:00 часа на 22. 07. 2024 г.
- с. Крушари - 3 аварии, с. Телериг - с нарушено водоподаване - с. Телериг, с. Бакалово, с. Зимница;
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
21.07.2024,"- Район Балчик: с. Кранево;
- Район Каварна: гр. Каварна - ниска зона без водоподаване до 13:00;
- Район Г. Тошево: с. Великово;
- Район Крушари: с. Телериг;
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
